Project Name ,Code,File Name ,Data Date ,Project Type ( Development / Construction),File Type (Baseline/ Update ) ,Date Received 
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2025.09.25 BL01,9/25/2025,Development ,Baseline 01 ,10/30/2025
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2025.09.25 UP01,9/25/2025,Development ,Update 01,10/30/2025
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2025.09.25 UP02,9/25/2025,Development ,Update 02,11/18/2025
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2025.09.25 UP03,9/25/2025,Development ,Update 03,11/18/2025
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2025.12.01 UP04,12/1/2025,Development ,Update 04,12/2/2025
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2025.01.06 UP05,1/6/2026,Development ,Update 05,1/13/2026
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2026.02.08 UP06,2/8/2026,Development ,Update 06,2/3/2026
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2026.03.04 UP07,3/4/2026,Development ,Update 07,3/4/2026
Playa Vista ,CA17162,CA17162 - Playa Vista - W Jefferson (exp) - 2026.04.06 UP08,4/6/2026,Development ,Update 08,4/6/2026
,,,,,,
Riverview,FL23658,FL23658 - Riverview - Big Bend Rd & Simmons Rd (land) - TBA - 2025.10.28 BL01,10/28/2025,Development ,Baseline 01,10/30/2025
Riverview,FL23658,FL23658 - Riverview - Big Bend Rd & Simmons Rd (land) - TBA - 2025.10.30 UP01,10/30/2025,Development ,Update 01,10/30/2025
Riverview,FL23658,FL23658 - Riverview - Big Bend Rd & Simmons Rd (land) - TBA - 2025.11.26 UP02,11/26/2025,Development ,Update 02,11/26/2025
Riverview,FL23658,FL23658 - Riverview - Big Bend Rd & Simmons Rd (land) - TBA - 2026.01.08 UP03,1/8/2026,Development ,Update 03,1/12/2026
Riverview,FL23658,FL23658 - Riverview - Big Bend Rd & Simmons Rd (land) - TBA - 2026.02.08 UP04,2/8/2026,Development ,Update 04,2/3/2026
,,,,,,
Four Corners,FL23725,FL23725 - Four Corners - Hwy 27 and Hwy 192 (land) - TBA - 2025.10.24 BL01,10/24/2025,Development ,Baseline 01,10/30/2025
Four Corners,FL23725,FL23725 - Four Corners - Hwy 27 and Hwy 192 (land) - TBA - 2025.11.21 UP01,11/21/2025,Development ,Update 01,11/26/2025
Four Corners,FL23725,FL23725 - Four Corners - Hwy 27 and Hwy 192 (land) - TBA - 2026.02.26 UP02,2/26/2026,Development ,Update 02,3/3/2026
,,,,,,
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.03.06 BL01,3/6/2025,Construction ,Baseline 01,10/31/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.03.07 UP01,3/7/2025,Construction ,Update 01,11/6/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.05.07 UP02,5/7/2025,Construction ,Update 02,11/6/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.06.20 UP03,6/20/2025,Construction ,Update 03,10/31/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.07.10 UP04,7/10/2025,Construction ,Update 04,10/31/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.08.01 UP05,8/1/2025,Construction ,Update 05,10/31/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.08.29 UP06,8/29/2025,Construction ,Update 06,10/31/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.10.03 UP07,10/3/2025,Construction ,Update 07,11/6/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.10.31 UP08,10/31/2025,Construction ,Update 08,11/6/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2025.12.05 UP09,12/5/2025,Construction ,Update 09,12/8/2025
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2026.01.07 UP10,1/7/2026,Construction ,Update 10,1/7/2026
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2026.01.30 UP11,1/30/2026,Construction ,Update 11,2/13/2026
Colorado Springs,CO25103,CO25103 - Colorado Springs - Marksheffel & Barnes Rd (solar) (CAN)(CLO) - TBA-2026.01.30 UP12,4/1/2026,Construction ,Update 12,4/1/2026
,,,,,,
Fairfax,VA18231,VA18231 - Fairfax - Lee Hwy (land) - 08239-2025.09.30 UP01,9/30/2025,Construction ,Update  01,11/6/2025
Fairfax,VA18231,VA18231 - Fairfax - Lee Hwy (land) - 08239-2025.10.31 UP02,10/31/2025,Construction ,Update  02,11/6/2025
Fairfax,VA18231,VA18231 - Fairfax - Lee Hwy (land) - 08239-2025.12.31 UP03,12/31/2025,Construction ,Update  03,1/16/2026
Fairfax,VA18231,VA18231 - Fairfax - Lee Hwy (land) - 08239-2026.01.31 UP04,1/31/2026,Construction ,Update  04,2/16/2026
Fairfax,VA18231,VA18231 - Fairfax - Lee Hwy (land) - 08239- 2026.02.28 UP05,2/28/2026,Construction ,Update  05,3/11/2026
,,,,,,
Mt.Juliet,TN23676,TN23676-Mt.Juliet-Golden Bear (land)-TBA-2025.10.24-BL01,10/24/2025,Construction ,Baseline 01,10/30/2025
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2025.07.02 UP01,7/2/2025,Construction ,Update 01,11/6/2025
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2025.10.01 UP02 ,10/1/2025,Construction ,Update 02,11/6/2025
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2025.10.31 UP03,10/31/2025,Construction ,Update 03,11/7/2025
Mt. Juliet ,TN23676,TN23676 - Mt. Juliet - Golden Bear (land) - TBA-2025.12.01 UP04,12/1/2025,Construction ,Update 04,12/9/2025
